Name,F.year,Address,States,City,County,Type,latitude,longitude,geocode_source,geocode_input,matched_address,match_type
IOWA Asian Alliance,2002," 3816 Ingersoll Avenue Des Moines, Iowa, 50312",IA,DES MOINES,POLK,CSO,41.586066,-93.669266,geocodio,"3816 Ingersoll Avenue Des Moines, Iowa, 50312","3816 Ingersoll Ave, Des Moines, IA 50312",1
Asian and Pacific Islander American Health Forum,1986,"1 Kaiser Plz Ste 850 Oakland, CA 94612",CA,OAKLAND,ALAMEDA,Advocacy,37.809629,-122.264659,geocodio,"1 Kaiser Plz Ste 850 Oakland, CA 94612","1 Kaiser Plz, Ste 850, Oakland, CA 94612",1
Boston Asian American Services,2008,"1 Kelly Way, Canton, MA, 02021-2786",MA,CANTON,NORFOLK,CSO,42.166988,-71.113146,geocodio,"1 Kelly Way, Canton, MA, 02021-2786","1 Kelly Way, Canton, MA 02021",1
APA Family Support Services,1987,"10 Nottingham Place, San Francisco, CA 94133",CA,SAN FRANCISCO,SAN FRANCISCO,CSO,37.797705,-122.404937,geocodio,"10 Nottingham Place, San Francisco, CA 94133","10 Nottingham Pl, San Francisco, CA 94133",1
Asian Services of Indiana,2004,"10 WEST MARKET STREET, SUITE 700, INDIANAPOLIS, IN, 46204",IN,INDIANAPOLIS,MARION,CSO,39.768793,-86.159452,geocodio,"10 WEST MARKET STREET, SUITE 700, INDIANAPOLIS, IN, 46204","10 W Market St, Ste 700, Indianapolis, IN 46204",1
Asian Youth Center,1989,"100 Clary Ave, San Gabriel, CA 91776",CA,SAN GABRIEL,LOS ANGELES,CSO,34.097837,-118.102655,geocodio,"100 Clary Ave, San Gabriel, CA 91776","100 Clary Ave, San Gabriel, CA 91776",1
Asian Health Foundation,2007,"100 WALNUT AVE STE 103, CLARK , NJ 07066",NJ,CLARK,UNION,CSO,40.629918,-74.303337,geocodio,"100 WALNUT AVE STE 103, CLARK , NJ 07066","100 Walnut Ave, Ste 103, Clark, NJ 07066",1
Asian American Alliance,1999,"1000 East 116th Street Carmel, IN 46032 ",IN,CARMEL,HAMILTON,CSO,39.958938,-86.137629,geocodio,"1000 East 116th Street Carmel, IN 46032","1000 E 116th St, Carmel, IN 46032",1
Asian Pacific American Institute for Congressional Studies,1994,"1001 Connecticut Ave NW, Suite 320, Washington, DC 20036 ",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy,38.902798,-77.038884,geocodio,"1001 Connecticut Ave NW, Suite 320, Washington, DC 20036","1001 Connecticut Ave NW, Ste 320, Washington, DC 20036",1
Asian Health Services,1974,"101 8th Street, Suite 101 Oakland, CA 94607",CA,OAKLAND,ALAMEDA,Hybrid,37.796932,-122.265491,geocodio,"101 8th Street, Suite 101 Oakland, CA 94607","101 8th St, Ste, Oakland, CA 94607",1
Association of Asian-Pacific Community Health Organizations,1987,"101 Callan Avenue Suite 400 San Leandro, CA 94577",CA,SAN LEANDRO,ALAMEDA,Hybrid,37.725765,-122.156031,geocodio,"101 Callan Avenue Suite 400 San Leandro, CA 94577","101 Callan Ave, Ste 400, San Leandro, CA 94577",1
Chinese Mutual Aid Association,1981,"1016 West Argyle Street Chicago, IL 60640",IL,CHICAGO,COOK,CSO,41.973588,-87.655727,geocodio,"1016 West Argyle Street Chicago, IL 60640","1016 W Argyle St, Chicago, IL 60640",1
Asian Americans United,1985,"1023 Callowhill Street, Philadelphia, PA 19123",PA,PHILADELPHIA,PHILADELPHIA,Advocacy,39.958614,-75.155467,geocodio,"1023 Callowhill Street, Philadelphia, PA 19123","1023 Callowhill St, Philadelphia, PA 19123",1
Asian Community Development Council,2012,"1027 SOUTH RAINBOW BLVD ROOM 253, LAS VEGAS, NV 89145",NV,LAS VEGAS,CLARK,Hybrid,36.182404,-115.242418,geocodio,"1027 SOUTH RAINBOW BLVD ROOM 253, LAS VEGAS, NV 89145","1027 N Rainbow Blvd 253, Las Vegas, NV 89108",0.91
