Name,F.year,Address,States,City,County,Type,latitude,longitude,geocode_source,geocode_input,matched_address,match_type
Latino Education Task Force,2014,"7008 ARROYO DEL OSO AVE NE ALBUQUERQUE, NM 87109 ",NM,ALBUQUERQUE,BERNALILLO,Hybrid,35.13654,-106.567829,geocodio,"7008 ARROYO DEL OSO AVE NE ALBUQUERQUE, NM 87109","7008 Arroyo Del Oso Ave NE, Albuquerque, NM 87109",1
Latino Sustainability Institute,2010,"500 COPPER AVE NW STE 103 ALBUQUERQUE, NM 87102",NM,ALBUQUERQUE,BERNALILLO,Advocacy,35.085444,-106.652794,geocodio,"500 COPPER AVE NW STE 103 ALBUQUERQUE, NM 87102","500 Copper Ave NW, Ste 103, Albuquerque, NM 87102",1
New Mexico Alliance For Hispanic Education,1993,"Albuquerque, NM 87199-3656",NM,ALBUQUERQUE,BERNALILLO,CSO,35.044339,-106.672872,geocodio,"Albuquerque, NM 87199-3656","Albuquerque, NM 87199",1
Hispanic Institute For Blindness Prevention,2011,"6911 Richmond Hwy Alexandria, VA 22306-1842",VA,ALEXANDRIA,ALEXANDRIA,CSO,38.767665,-77.082518,geocodio,"6911 Richmond Hwy Alexandria, VA 22306-1842","6911 Richmond Hwy, Alexandria, VA 22306",1
National Hispanic Environmental Council,1996,"106 N Fayette St, Alexandria, VA 22314",VA,ALEXANDRIA,ALEXANDRIA,Advocacy,38.806198,-77.0525,geocodio,"106 N Fayette St, Alexandria, VA 22314","106 N Fayette St, Alexandria, VA 22314",1
Alhambra Latino Association,1995,,CA,ALHAMBRA,LOS ANGELES,CSO,34.090728,-118.127527,geocodio,"ALHAMBRA, CA","Alhambra, CA 91801",1
Chicano A Latino A Educational Foundation,2012,,CA,ALHAMBRA,LOS ANGELES,CSO,34.090728,-118.127527,geocodio,"ALHAMBRA, CA","Alhambra, CA 91801",1
Hispanic American Organization,1976,,PA,ALLENTOWN,LEHIGH,CSO,40.602658,-75.469236,geocodio,"ALLENTOWN, PA","Allentown, PA 18101",1
Hispanic Health Coalition of Georgia,1990,"11175 Cicero Dr Ste 100 Alpharetta, GA 30022-11",GA,ALPHARETTA,FULTON,Hybrid,34.051596,-84.278464,geocodio,"11175 Cicero Dr Ste 100 Alpharetta, GA 30022-11","11175 Cicero Dr, Ste 100, Alpharetta, GA 30022",0.9
Hispanic Affairs Council of Alaska,2007,,AK,ANCHORAGE,ANCHORAGE,CSO,61.220018,-149.855702,geocodio,"ANCHORAGE, AK","Anchorage, AK 99501",1
Mi Raza Community Center,2004,"113 Collins Street, Arcola, IL 61910",IL,ARCOLA,DOUGLAS,CSO,39.470918,-88.169363,geocodio,"113 Collins Street, Arcola, IL 61910","Colony Ln, Charleston, IL 61920",0.56
Latino Behavioral Health Institute,1996,"9820 Woodman Ave Arleta, CA 91331-5047 ",CA,ARLETA,LOS ANGELES,CSO,34.24894,-118.449178,geocodio,"9820 Woodman Ave Arleta, CA 91331-5047","9820 Woodman Ave, Arleta, CA 91331",1
National Alliance For Hispanic Families,2014,"Arlington, VA 22204-8408",VA,ARLINGTON,ARLINGTON,Hybrid,38.860335,-77.100868,geocodio,"Arlington, VA 22204-8408","Arlington, VA 22204",1
North Texas Young Latino Leaders,2015,"2602 HOLLYWOOD DR ARLINGTON, TX 76013",TX,ARLINGTON,TARRANT,CSO,32.730811,-97.150832,geocodio,"2602 HOLLYWOOD DR ARLINGTON, TX 76013","2602 Hollywood Dr, Arlington, TX 76013",1
Hispanic Affairs and Resource Center of Monmouth County,1980,"913 Sewall Ave, Asbury Park, NJ 07712",NJ,ASBURY PARK,MONMOUTH,CSO,40.220398,-74.01461,geocodio,"913 Sewall Ave, Asbury Park, NJ 07712","913 Sewall Ave, Asbury Park, NJ 07712",1
Coalicion Latina del Condado de Randolph,2004,"Asheboro, NC 27204",NC,ASHEBORO,RANDOLPH,CSO,35.788286,-79.720556,geocodio,"Asheboro, NC 27204","Asheboro, NC 27204",1
Lower Columbia Hispanic Council,1998,"Astoria, OR 97103-1029",OR,ASTORIA,CLATSOP,Hybrid,46.142206,-123.795996,geocodio,"Astoria, OR 97103-1029","Astoria, OR 97103",1
Athens Latino Center For Education And Services,2010,"445 Huntington Road, Athens, GA 30606",GA,ATHENS,CLARKE,CSO,33.945851,-83.464427,geocodio,"445 Huntington Road, Athens, GA 30606","445 Huntington Rd, Athens, GA 30606",1
GALEO Latino Community Development Fund,2005,"Atlanta, GA 30359-0506",GA,ATLANTA,FULTON,Hybrid,33.891251,-84.07456,geocodio,"Atlanta, GA 30359-0506","Atlanta, GA 30359",1
Georgia Latino Alliance for Human Rights,2001,"7 Dunwoody Park #110, Atlanta, GA 30341",GA,ATLANTA,FULTON,Hybrid,33.923865,-84.310256,geocodio,"7 Dunwoody Park #110, Atlanta, GA 30341","7 Dunwoody Park, Ste 110, Atlanta, GA 30338",0.99
Latin American Association,1972,"2750 Buford Hwy. Atlanta, GA 30324",GA,ATLANTA,FULTON,CSO,33.829084,-84.346077,geocodio,"2750 Buford Hwy. Atlanta, GA 30324","2750 GA-13, Atlanta, GA 30324",1
Latino Leadership Council,2007,2945 Bell Road 274 Auburn CA 95603-2540,CA,AUBURN,PLACER,CSO,38.941949,-121.094474,geocodio,2945 Bell Road 274 Auburn CA 95603-2540,"2945 Bell Rd 274, Auburn, CA 95603",1
Asociacion Latina De Servicios Del Csra,2005,"Augusta, GA 30903-0599",GA,AUGUSTA,RICHMOND,CSO,33.490149,-82.162688,geocodio,"Augusta, GA 30903-0599","Augusta, GA 30903",1
American GI Forum,1948,"1000 Brazos St Suite 200 Austin, TX 78701",TX,AUSTIN,TRAVIS,Hybrid,30.27175,-97.740178,geocodio,"1000 Brazos St Suite 200 Austin, TX 78701","1000 Brazos St, Ste 200, Austin, TX 78701",1
Austin Latino A Lesbian and Gay Organization,1985,"701 Tillery St, Austin, TX 78702",TX,AUSTIN,TRAVIS,Advocacy,30.260859,-97.701927,geocodio,"701 Tillery St, Austin, TX 78702","701 Tillery St, Austin, TX 78702",1
Board of Hispanic Caucus Chairs,2002,,TX,AUSTIN,TRAVIS,Advocacy,30.268335,-97.741382,geocodio,"AUSTIN, TX","Austin, TX 78701",1
Latina Mami,2000,"1806 West Stassney Lane, Austin, Texas",TX,AUSTIN,TRAVIS,Hybrid,30.214773,-97.795468,geocodio,"1806 West Stassney Lane, Austin, Texas","1806 W Stassney Ln, Austin, TX 78745",1
Latino Healthcare Forum,2010,"6601 Felix Ave Austin, TX 78741-2408",TX,AUSTIN,TRAVIS,CSO,30.233611,-97.693921,geocodio,"6601 Felix Ave Austin, TX 78741-2408","6601 Felix Ave, Austin, TX 78741",1
Mexican American Legislative Policy Council,1995,202 W 13th st Austin TX 78701,TX,AUSTIN,TRAVIS,Advocacy,30.27567,-97.741946,geocodio,202 W 13th st Austin TX 78701,"202 W 13th St, Austin, TX 78701",1
MI Tierra Es Latina,2003,,TX,AUSTIN,TRAVIS,CSO,30.268335,-97.741382,geocodio,"AUSTIN, TX","Austin, TX 78701",1
Texas Latino Council of the Deaf and Hard of Hearing,2005,,TX,AUSTIN,TRAVIS,CSO,30.268335,-97.741382,geocodio,"AUSTIN, TX","Austin, TX 78701",1
Kern County Hispanic Commission On Alcohol And Drug Abuse Services,2003,1400 Easton Dr Ste 151 Bakerfield CA 93309-9406,CA,BAKERSFIELD,KERN,CSO,35.370344,-119.045112,geocodio,1400 Easton Dr Ste 151 Bakerfield CA 93309-9406,"1400 Easton Dr, Ste 151, Bakersfield, CA 93309",1
Latina Leaders of Kern County,1998,,CA,BAKERSFIELD,KERN,CSO,35.384337,-119.020562,geocodio,"BAKERSFIELD, CA","Bakersfield, CA 93301",1
Latino Coalition for Community Leadership,2003,"901 Sacramento St Bakerfiled, CA 93305-4243",CO,BAKERSFIELD,KERN,CSO,35.379545,-118.999824,geocodio,"901 Sacramento St Bakerfiled, CA 93305-4243","901 Sacramento St, Bakersfield, CA 93305",1
Latino Interactive Voter Education Project,2014,,CA,BAKERSFIELD,KERN,Advocacy,35.384337,-119.020562,geocodio,"BAKERSFIELD, CA","Bakersfield, CA 93301",1
Education Based Latino Outreach,1980,"606 S Ann St, Baltimore, MD 21231",MD,BALTIMORE,BALTIMORE,CSO,39.284236,-76.591481,geocodio,"606 S Ann St, Baltimore, MD 21231","606 S Ann St, Baltimore, MD 21231",1
Latino Providers Network,1992,"149 N Luzerne Ave Baltimore, MD 21224-1148 ",MD,BALTIMORE,BALTIMORE,Hybrid,39.294184,-76.580387,geocodio,"149 N Luzerne Ave Baltimore, MD 21224-1148","149 N Luzerne Ave, Baltimore, MD 21224",1
Us Hispanic Youth Entrepreneurship and Education Foundation,2006,"601 Alluvion St Baltimore, MD 21230-2035",MD,BALTIMORE,BALTIMORE,CSO,39.275055,-76.627079,geocodio,"601 Alluvion St Baltimore, MD 21230-2035","601 Alluvion St, Baltimore, MD 21230",1
Hispanic Community Advisory Committee,2014,,IN,BATESVILLE,FRANKLIN,CSO,39.30005,-85.22218,geocodio,"BATESVILLE, IN","Batesville, IN 47006",1
Alianza Latina,2015,,LA,BATON ROUGE,EAST BATON ROUGE PARISH,CSO,30.44924,-91.185607,geocodio,"BATON ROUGE, LA","Baton Rouge, LA 70801",1
Latino Service Providers Coalition,2004,"417 Harrison Ave, Beloit, WI 53511",WI,BELOIT,ROCK,CSO,42.500306,-89.025183,geocodio,"417 Harrison Ave, Beloit, WI 53511","417 Harrison Ave, Beloit, WI 53511",1
Central Oregon Latino Scholarship Fund,2012,"2429 NW DORION WAY, BEND OR 97701-7051",OR,BEND,DESCHUTES,CSO,44.061714,-121.349607,geocodio,"2429 NW DORION WAY, BEND OR 97701-7051","2429 NW Dorion Way, Bend, OR 97703",0.99
Latino Community Association,2000,,OR,BEND,DESCHUTES,CSO,44.082037,-121.227125,geocodio,"BEND, OR","Bend, OR 97701",1
Latino Issues Forum,1987,"1918 University Avenue, Suite 3D, Berkeley, CA 94704",CA,BERKELEY,ALAMEDA,Advocacy,37.871299,-122.272439,geocodio,"1918 University Avenue, Suite 3D, Berkeley, CA 94704","1918 University Ave, Ste 3D, Berkeley, CA 94704",1
Hispanic Center Lehigh Valley,1968,"520 E 4th St, Bethlehem, PA 18015",PA,BETHLEHEM,NORTHAMPTON,CSO,40.610531,-75.371022,geocodio,"520 E 4th St, Bethlehem, PA 18015","520 E 4th St, Bethlehem, PA 18015",1
Latino Donor Collaborative,2010,2129 Coldwater Canyon Dr Beverly Hills CA 90210-1734,CA,BEVERLY HILLS,LOS ANGELES,CSO,34.110599,-118.404771,geocodio,2129 Coldwater Canyon Dr Beverly Hills CA 90210-1734,"2129 Coldwater Canyon Dr, Beverly Hills, CA 90210",1
Hispanic Interest Coalition of Alabama,1999,"117 Southcrest Drive Birmingham, AL 35219-0000",AL,BIRMINGHAM,JEFFERSON,CSO,33.525426,-86.736545,geocodio,"117 Southcrest Drive Birmingham, AL 35219-0000","Southcrest Rd, Birmingham, AL 35213",0.69
Latino Coalition of Southwest Ohio,2016,"10979 REED HARTMAN HWY STE 110 BLUE ASH, OH 45242 ",OH,BLUE ASH,HAMILTON,CSO,39.265957,-84.381681,geocodio,"10979 REED HARTMAN HWY STE 110 BLUE ASH, OH 45242","10979 Reed Hartman Hwy, Ste 110, Blue Ash, OH 45242",1
Latino Health Institute,1989,95 Berkeley St Ste 600 Boston Ma 02116-6264,MA,BOSTON,SUFFOLK,CSO,42.347289,-71.070821,geocodio,95 Berkeley St Ste 600 Boston Ma 02116-6264,"95 Berkeley St, Ste 600, Boston, MA 02116",1
